Location,Parameter,Safe_Limit,Observed_Value,Status,Impact
Gangapur Dam upstream,pH,6.5-8.5,7.4,Safe,Stable baseline water quality
Gangapur Dam upstream,Dissolved Oxygen (DO),>=5 mg/L,6.8,Safe,Adequate oxygen for aquatic life
Gangapur Dam upstream,BOD,<=3 mg/L,1.5,Safe,Low organic pollution
Gangapur Dam upstream,Total Coliform,<=500 MPN/100ml,120,Safe,Low sewage contamination
Gangapur Dam upstream,Turbidity,Lower is better,18,Moderate,Some suspended matter during runoff
Someshwar,pH,6.5-8.5,7.6,Safe,Within acceptable range
Someshwar,Dissolved Oxygen (DO),>=5 mg/L,5.8,Safe,Still supportive of aquatic life
Someshwar,BOD,<=3 mg/L,2.8,Safe,Approaching upper bathing limit
Someshwar,Total Coliform,<=500 MPN/100ml,450,Unsafe,Early sewage stress
Someshwar,Turbidity,Lower is better,35,Moderate,Local runoff and human activity
Anandwalli Bridge,pH,6.5-8.5,8.0,Safe,Alkaline but acceptable
Anandwalli Bridge,Dissolved Oxygen (DO),>=5 mg/L,3.8,Unsafe,Stress on aquatic organisms
Anandwalli Bridge,BOD,<=3 mg/L,8.0,Unsafe,High organic pollution
Anandwalli Bridge,Total Coliform,<=500 MPN/100ml,54000,Unsafe,Heavy sewage contamination
Anandwalli Bridge,Turbidity,Lower is better,95,Unsafe,Visible degradation and silt load
Tapovan STP downstream,pH,6.5-8.5,8.1,Safe,Still within range
Tapovan STP downstream,Dissolved Oxygen (DO),>=5 mg/L,3.2,Unsafe,Poor oxygen condition downstream
Tapovan STP downstream,BOD,<=3 mg/L,12.0,Unsafe,Treated or partially treated sewage load
Tapovan STP downstream,Total Coliform,<=500 MPN/100ml,100000,Unsafe,Strong faecal contamination
Tapovan STP downstream,Turbidity,Lower is better,110,Unsafe,High suspended pollution load
Agartakli downstream,pH,6.5-8.5,8.2,Safe,Acceptable chemistry but polluted water
Agartakli downstream,Dissolved Oxygen (DO),>=5 mg/L,2.0,Unsafe,Severe oxygen depletion
Agartakli downstream,BOD,<=3 mg/L,14.0,Unsafe,Very high organic load
Agartakli downstream,Total Coliform,<=500 MPN/100ml,480000,Unsafe,Extreme sewage contamination
Agartakli downstream,Turbidity,Lower is better,140,Unsafe,Worst visible water quality in the stretch
Kaleshwar (Nanded),pH,6.5-8.5,7.3,Safe,Within acceptable range
Kaleshwar (Nanded),Dissolved Oxygen (DO),>=5 mg/L,5.6,Safe,Reasonable oxygen balance
Kaleshwar (Nanded),BOD,<=3 mg/L,2.5,Safe,Low-to-moderate organic load
Kaleshwar (Nanded),Total Coliform,<=500 MPN/100ml,400,Safe,Near bathing threshold
Kaleshwar (Nanded),Turbidity,Lower is better,40,Moderate,Local activity and runoff influence
Govardhan Ghat (Nanded),pH,6.5-8.5,7.8,Safe,Within acceptable range
Govardhan Ghat (Nanded),Dissolved Oxygen (DO),>=5 mg/L,4.2,Unsafe,Reduced oxygen from sewage input
Govardhan Ghat (Nanded),BOD,<=3 mg/L,5.5,Unsafe,Organic pollution from city sewage
Govardhan Ghat (Nanded),Total Coliform,<=500 MPN/100ml,12000,Unsafe,Faecal contamination from urban discharge
Govardhan Ghat (Nanded),Turbidity,Lower is better,75,Unsafe,High pollution load
Shani Ghat (Nanded),pH,6.5-8.5,8.1,Safe,Within range but polluted
Shani Ghat (Nanded),Dissolved Oxygen (DO),>=5 mg/L,3.6,Unsafe,Aquatic stress
Shani Ghat (Nanded),BOD,<=3 mg/L,7.8,Unsafe,Strong sewage influence
Shani Ghat (Nanded),Total Coliform,<=500 MPN/100ml,25000,Unsafe,Heavy microbial contamination
Shani Ghat (Nanded),Turbidity,Lower is better,120,Unsafe,City sewage and garbage impact
Navghat (Nanded),pH,6.5-8.5,8.2,Safe,Acceptable chemistry
Navghat (Nanded),Dissolved Oxygen (DO),>=5 mg/L,3.1,Unsafe,Low oxygen from waste accumulation
Navghat (Nanded),BOD,<=3 mg/L,9.5,Unsafe,High biodegradable waste load
Navghat (Nanded),Total Coliform,<=500 MPN/100ml,32000,Unsafe,Serious sewage contamination
Navghat (Nanded),Turbidity,Lower is better,150,Unsafe,High suspended waste and silt
Hattibanda (Nanded),pH,6.5-8.5,8.0,Safe,Within acceptable range
Hattibanda (Nanded),Dissolved Oxygen (DO),>=5 mg/L,2.8,Unsafe,Severe oxygen stress
Hattibanda (Nanded),BOD,<=3 mg/L,10.5,Unsafe,Very high pollution load
Hattibanda (Nanded),Total Coliform,<=500 MPN/100ml,40000,Unsafe,High faecal contamination
Hattibanda (Nanded),Turbidity,Lower is better,170,Unsafe,Strong sewage and runoff effect
Vajegaon (Nanded),pH,6.5-8.5,7.5,Safe,Near neutral and acceptable
Vajegaon (Nanded),Dissolved Oxygen (DO),>=5 mg/L,4.8,Moderate,Close to threshold
Vajegaon (Nanded),BOD,<=3 mg/L,4.0,Unsafe,Moderate organic pollution
Vajegaon (Nanded),Total Coliform,<=500 MPN/100ml,2500,Unsafe,Still above bathing standard
Vajegaon (Nanded),Turbidity,Lower is better,65,Unsafe,Downstream carryover pollution
